critters.urchin.commonName, , , "Urchin", "Erizo de Mar"
critters.urchin.commonName.plural, , , "Urchins", "Erizos"
critters.whiteShrimp.commonName, , , "White Shrimp", "Camarón blanco"
critters.zombieWorm.commonName, , , "Zombie Worm", "Gusano Zombi"
critters.cyanobacteria.commonName, , , "Cyanobacteria", "Cianobacteria"
critters.ick.commonName, , , "Ick", "Parásito del Punto Blanco"
critters.turfAlgae.commonName, , , "Turf Algae", "Alga Roja"
critters.pterasterObscurus.commonName, , , "Cushion Star", "Estrella Cojín Ártica"
critters.urchin.description, , , "Plated globe-like animal. Its long spikes help ward off predators.", "Animal blindado en forma de globo. Sus largas espinas ayudan a protegerse de los depredadores"
critters.turtleGrass.description, , , "Turtles must really like this stuff.", "A las totugas les encantarían estas cosas."
critters.turfAlgae.description, , , "Red macroalgae.", "Algas Rojas"
critters.staghornCoral.description, , , "This coral formation has millions of tiny polyps and symbiotic zooxanthelle... but no antlers.", "Esta formación de coral tiene millones de pequeños pólipos y zooxantela simbiótica... pero no cuernos."
critters.seaStar.description, , , "Most sea stars have five arms, hundreds of tube feet, and zero orbiting planets.", "La mayoría tienen cinco brazos, cientos de tubo-patas y zero planetas en órbita."
critters.seaOtter.description, , , "These fuzzy critters are known to float on their backs to sleep. Scientists refer to this as ""adorable.""", "Estos peluches se conocen por sus manos flotantes en sus pancitas cuando duermen. La comunidad scientifica lo llama ""adorable"" """
critters.sargassum.description, , , "Floaty, bloaty, smells like bologna.", "Flota, se hincha, y apesta a ceviche."
critters.redGrouper.description, , , "These fish clear detritus from around their dens, opening space for other critters - truly the janitors of the sea!", "Estos peces limpian su detritus del alrededor de sus madrigueras, abriendo espacio para otros bichos: ¡son auténticos conserjes del mar!"
critters.mussel.description, , , "These molluscs may not be muscular, but their ability to filter water is a superpower.", "Puede que estos mejillones no sean musculosos, pero su capacidad para filtrar el agua es un superpoder."
critters.loggerheadTurtle.description, , , "These vulnerable sea turtles have probably never even seen a log.", "Estas tortugas marinas vulnerables probablemente nunca han visto un tronco."
critters.queenConch.description, , , "Listen to the ocean in their shells. Well, after they move out of course.", "Escucha el océano en sus conchas. Bueno, después de que se muden."
critters.whiteShrimp.description, , , "10 walking legs, 10 swimming legs, and antennae 3 times longer than their body", "10 patas para caminar, 10 patas para nadar y antenas 3 veces más largas que su cuerpo"
critters.giantKelp.description, , , "The biggest and best of the kelp! Make wonderful cookies, according to exactly one person.", "¡La mayor y mejor de las algas! Hacen unas galletas maravillosas, según cuenta una sola persona."
critters.fishers.description, , , "Humans, specifically those that catch fish.", "Los humanos, en particular los que capturan peces."
critters.detritus.description, , , "That's just dead organic matter. Analysis says it's 78% icky.", "Es materia orgánica muerta. Los análisis dicen que es un 78% de asquerosidad."
critters.copepod.description, , , "Super swimmers who can travel 295 ft/hr. Good thing they can't participate in the olympics.", "Supernadadores que pueden desplazarse a 90 metros/hora. Lo bueno es que no pueden participar en las olimpiadas."
critters.bullKelp.descripion, , , "These plant-like growths are actually composed of protists, and are unrelated to cows.", "Estos crecimientos parecidos a plantas están compuestos en realidad por protistas, y no están relacionados con las vacas."
critters.blueTang.description, , , "The great lawn mowers of the coral reef. Unpaid that is.", "Las cortadoras de césped del arrecife de coral. Eso sí, sin pagar."
critters.blueheadWrasse.description, , , "Larger predators will allow these ""cleaner fish"" to eat algae and parasites off their skin without any ha-wrasse-ment.", "Los depredadores más grandes permitirán a estos ""peces limpiadores"" comerse las algas y los parásitos de su piel sin darles ningúna mala-cara."
critters.fishers.commonName.plural, , , "Human Fishers", "Pescadores Humanos"
critters.methane.commonname, , , "Methane Hydrate Crystals", "Cristales de Hidrato de Metano"
critters.methanogen.commonname, , , "Methane Fire Archaea", "Arquea Metanógena"
critters.RedGorgonian.commonname, , , "Red Gorgonian", "Gorgonia Roja"
critters.seapearl.commonname, , , "Sea Pearl", "Perla Marina"
critters.angelFish.commonname, , , "Angelfish", "Pez Ángel"
critters.brooksi.commonName, , , "Brooksi Mussel", "Mejillón Brooksi"
critters.deepSeaSkate.commonName, , , "Deep Sea Skate", "Raya de las Profundidades"
critters.elkhornCoral.commonName, , , "Elkhorn Coral", "Coral Cuerno de Alce"
critters.moonJelly.commonName, , , "Moon Jelly", "Medusa Lunar"
critters.siphonophore.commonName, , , "Sea Dandelion", "Sifonóforo Diente de León"
critters.tubeworms.commonNames, , , "Tube Worms", "Gusano de Tubo Gigante"
critters.ventstar.commonName, , , "Vent Star", "Estrella Hidrotermal"
critters.plastic.commonName, , , "Plastic Bag", "Bolsa de plástico"
critters.angelFish.description, , , "These holy fish are actually ambush hunters - not so angelic after all.", "Estos peces angélicos son en realidad cazadores de emboscadas. No tan santos después de todo."
critters.angelFish.pluralname, , , "Angelfish", "Pez Ángel"
critters.angelFish.commonname.plural, , , "Angelfish", "Pez Ángel"
critters.moonJelly.commonName.plural, , , "Moon Jellies", "Medusas Lunar"
critters.moonJelly.description, , , "Opportunistic critters can wait 25 years in their polyp stage before maturing. Also thrive in waters otherwise uninhabitable. Makes a tasty chip.", "Estos bichos oportunistas pueden esperar 25 años en su fase de pólipo antes de madurar. También prosperan en aguas que no podrían ser habitadas. Hacen un taco delicioso."
critters.seapearl.commonname.plural, , , "Sea Pearls", "Algas Burbujas"
critters.seapearl.description, , , "These ""pearls"" are actually made of algae, but they're still treasures to me.", "Estas parecidas perlas en realidad están hechas de algas, pero siguen siendo tesoros para mí."
critters.elkhornCoral.commonName.plural, , , "Elkhorn Coral", "Coral Cuerno de Alce"
critters.elkhornCoral.description, , , "They are similar to their Staghorn cousins, but these coral grows in horizontal shelves.", "Son similares a sus primos Coral Cuerno de Ciervo, pero estos corales crecen en repisas horizontales."
critters.lionfish.commonName, , , "Lionfish", "Pez León"
critters.artificialReef.commonName, , , "Artificial Reef", "Arrecife Artificial"
critters.spearedLionfish.commonName, , , "Speared Lionfish", "Pez León Arponeado"
critters.whaleTracker.commonName, , , "Whale Tracker", "Rastreador de Ballenas"
critters.glassSponge.commonName, , , "Glass Sponge", "Esponjas Vítreas"
critters.glassSponge.commonName.plural, , , "Glass Sponges", "Esponja Vítrea"
critters.northernSeaNettle.commonName, , , "Northern Sea Nettle", "Medusa del Ártico"
critters.northernSeaNettle.commonName.plural, , , "Northern Sea Nettles", "Medusas del Ártico"
critters.glacialamphipod.commonName, , , "Glacial Amphipod", "Anfípodo Glacial"
critters.glacialamphipod.commonName.plural, , , "Glacial Amphipods", "Anfípodos Glaciares"
critters.clione.commonName, , , "Clione", "Ángel del mar"
critters.clione.commonName.plural, , , "Clione", "Ángel del mar"
critters.arcticCopepod.commonName, , , "Arctic Copepod", "Copépodo Artico"
critters.arcticCopepod.commonName.plural, , , "Arctic Copepods", "Copépodos Articos"
critters.arcticCopepod.description, , , "How would you cope with being a tiny arctic crustacean?", "Como te la llevarías siendo un crustáceo tan chiquito?"
critters.plastic.commonName.plural, , , "Plastic Bags", "Bolsas de Plastico"
critters.pterasterObscurus.commonName.plural, , , "Cushion Stars", "Estrellas Cojín Árticas"
critters.hydrogen.name, , , "Hydrogen", "Hidrógeno"
critters.hydrogen.description, , , "The most basic of elements. Yes, it's also found in lattes.", "El más básico de los elementos. Sí, también se encuentra en los cafés con leche."
critters.SeaSkate.commonName, , , "Deep Sea Skate", "Raya de las Profundidades"
critters.SeaSkate.pluralCommonName, , , "Deep Sea Skates", "Rayas de las Profundidades"
critters.SeaSkate.description, , , "You won't find any sun rays this deep, but you can find these rays.", "No encontrarás rayos de sol en éstas profundidades, pero sí estas rayas."
critters.redGorgonian.commonName, , , "Red Gorgonian", "Gorgonia roja"
critters.oceanDandelion.commonName, , , "Ocean Dandelion", "Sifonóforo Diente de León"
critters.diatoms.description, , , "These silica-shelled algae are responsible for over 20% of Earth's oxygen, and much of its kitty litter.", "Estas algas con caparazón de sílice son responsables de más del 20% del oxígeno de la Tierra, y gran parte de arena para los gatos."
critters.cyanobacteria.description, , , "These tiny photosynthesizers are responsible for your oxygen. Remember to thank them.", "Estos pequeños fotosintetizadores son los responsables de tu oxígeno. Acuérdate de darles las gracias."
critters.decomposingBacteria.description, , , "Microscopic recyclers. Does this count as eating?", "Recicladores microscópicos. ¿Se puede contar como comer?"
critters.salmonShark.description, , , "Don't let their name fool you: they're not a type of salmon, but one of their most voracious predators!", "No dejes que su nombre te engañe: ¡no son un tipo de salmón, sino uno los depredadores más feroces!"
critters.lionfish.description, , , "This creature actually does have quite a beautiful mane... but it's made of deadly spines.", "En realidad, esta criatura tiene una hermosa cabellera... pero está hecha de espinas mortales."
critters.iceAlgae.description, , , "It's like ice cream, but it's green, and gooey, and algae.", "Es como un helado, pero verde, pegajoso y con algas."
critters.clione.description, , , "The flapping ""wings"" of these sea angels actually evolved from their foot.", "Las ""alitas"" de estos angelitos de mar originalmente se desarrollaron su pies."
critters.glacialamphipod.description, , , "These flea-like amphipods spend most of their life clinging to the bottom of sea ice, eating algae. Hey, it's a living.", "Estos anfípodos se parecen a pulgitas y pasan la mayor parte de sus vidas pegados al fondo del hielo marino, comiendo algas. Así se ganan la vida."
critters.ribbonSeal.description, , , "Their buoyancy sacs may be unique among seals, but their adorableness isn't.", "Puede que sus sacos de flotabilidad sean únicos entre las focas, pero su adorabilidad no lo es."
critters.arcticCod.description, , , "Maybe these polar fish were so cold they forgot the L.", "Estos pescaditos dicen pío pío pío cuando tienene hambre y cuando tienen frío."
critters.snowCrab.description, , , "Molting season turns these hard-shelled crabs into squishy blobs until they harden again. It's all about growth.", "La temporada de muda transforma sus duros esqueletos a caparazones blanditos hasta que vuelven a endurecerse. Todo para el crecimiento."
critters.astarteBorealis.description, , , "This bivalve has teeth! Three to be precise.", "¡Este bivalvo tiene dientes! Tres para ser exactos."
critters.pterasterObscurus.description, , , "The older they get, the more they look like a blob. No wonder they're obscure.", "Entre más viejos se ponen, más se transforman en blob."
critters.seaAnemone.description, , , "Top of the food chain at the top of the world. Mainly because the North Pole isn't the most hospitable ecosystem.", "En la cima de la cadena alimentaria y en la cima del mundo. Principalmente porque el Polo Norte no es el ecosistema más habitable."
critters.smelt.description, , , "Shimmer like a rainbow, smell like a cucumber.", "Brillan como arcoíris, huelen como pepino."
critters.chinookSalmon.description, , , "These salmon change color when they return to freshwater to mate - It's basically their prom.", "Este salmón cambia de color cuando regresan al agua dulce para reproducir- es como su baile del sacadito."
critters.bowheadWhale.description, , , "Unusually thick skulls bash through ice to let them breathe, missing dorsal fins mean they don't catch it on the ice. Priorities.", "Sus cráneos gruesos rompen el hielo para permitirles respirar, y la falta de aletas dorsales les impide atrapar en el hielo. Las prioridades."
critters.northernSeaNettle.description, , , "Stinging and irritating - just like land nettle.", "Pica y irrita - así como la Ortiga"
critters.glassSponge.description, , , "Sea sponges may look like weird plants, but they're actually some of the first animals to evolve.", "Las esponjas marinas pueden parecer plantas extrañas, pero en realidad son algunos de los primeros animales en evolucionar."
critters.bristleWorm.description, , , "Centipedes of the ocean.", "Los ciempiés del océano."
critters.hagfish.description, , , "These eel-shaped fish release copious amounts of slime and can tie themselves in knots. ""Hag"" sounds about right.", "Estos peces con forma de anguila liberan grandes cantidades de baba y pueden hacerse nudos a sí mismos."
critters.zombieWorm.description, , , "These worms don't eat brains, but they do bore into bones to eat the marrow.", "Estos gusanos no se comen los sesos, pero perforan los huesos para comerse la médula."
critters.northAtlanticOctopus.description, , , "Also known as the spoonarm octopus. Maybe they have a fondness for cereal.", "También conocido como el pulpo brazo de cuchara. Tal vez tienen una afición por los cereales."
critters.redGorgonian.description, , , "These sea fans extend feathery tentacles to capture plankton. Maybe they could also be used to cool yourself?", "Estos abanicos de mar extienden tentáculos plumosos para capturar plancton. ¿Quizá también podrían utilizarse para refrescarse?"
critters.brooksi.description, , , "These deep-sea mussels have endosymbiotic methanogens. They must be desperate to team up with someone so stinky.", "Estos mejillones de aguas profundas tienen metanógenos endosimbióticos. Deben de estar desesperados por asociarse con alguien tan apestoso."
critters.tubeworms.description, , , "These alien-looking worms get much of their biomass from symbiotic sulfur-eating bacteria.", "Estos lombrices parecidas a alienígenas obtienen gran parte de su biomasa de las bacterias simbióticas que se alimentan de azufre."
critters.methanogen.description, , , "Instead of oxygen, these bacteria breathe in hydrogen gas and exhale methane. Talk about bad breath.", "En lugar de oxígeno, estas bacterias inhalan gas hidrógeno y exhalan metano. Hablando de mal aliento."
critters.methane.description, , , "Energy rich compound. Most commonly associated with cow farts.", "Un compuesto llena de energía. Se asocia sobre todo a los pedos de vaca."
critters.oceanDandelion.description, , , "Definitely not a plant. More likely to suck you in than be blown apart.", "Definitivamente no es una planta. Es más probable que te absorba en vez de hacerte pedazos."
critters.ventstar.description, , , "The name is rather fitting, because these echinoderms sure look like they're from outer space.", "Su nombre es bastante apropiado, porque estos equinodermos parecen del espacio exterior."
critters.ribbonSeal.commonName.plural, , , "Ribbon Seals", "Focas Listadas"
critters.lionfish.commonName.plural, , , "Lionfish", "Pez León"
critters.oceanDandelion.commonName.plural, , , "Ocean Dandelions", "Sifonóforo Diente de León"
critters.anglerFish.commonname, , , "Angler Fish", "Pez Abisal"
critters.anglerFish.description, , , "What's going on with this fish? It's kinda scary...", "¿Qué le pasa a este pez? Me asusta un poco..."
critters.bloodJelly.commonname, , , "Blood Jelly", "Ctenóforo Vientre Rojo"
critters.bloodJelly.description, , , "No idea what this is...", "No sé qué es esto..."
critters.dinnerJelly.commonname, , , "Dinner Plate Jellyfish", "Narcomedusa"
critters.dinnerJelly.description, , , "No idea what this is...", "No sé qué es esto..."
critters.flapjackOcto.commonname, , , "Flapjack Octopus", "Pulpo Paraguas"
critters.flapjackOcto.description, , , "No idea what this is...", "No sé qué es esto..."
critters.gossamerWorm.commonname, , , "Gossamer Worm", "Gusano Marino Tomopteris"
critters.gossamerWorm.description, , , "No idea what this is...", "No sé qué es esto..."
critters.mysidShrimp.commonname, , , "Mysid Shrimp", "Camarón Misida"
critters.mysidShrimp.description, , , "No idea what this is...", "Ni idea qué es esto..."
critters.viperFish.commonname, , , "Viperfish", "Pez Víbora"
critters.viperFish.description, , , "No idea what this is...", "Ni idea qué es esto..."
critters.colossalSquid.commonname, , , "Colossal Squid", "Calamar Colosal"
critters.colossalSquid.description, , , "No idea what this is...", "No sé qué es esto..."
critters.encoded.1, , , "O, can you hear me? It's Sam. {un}We found{/un} the Challenger Deep. Dinn says it has a long-range comms link with your ship! {un}Don't know how{/un} it works or if you're getting this. Probe's still in one piece. Data's slowly coming in. But O... there's {un}something{/un} else down here. Call me as soon as you get this.", "¿Me escuchas, Oli? Habla Sam. {un}Encontramos{/un} el Challenger Deep. ¡Dinn dice que tiene un enlace de comunicaciones de larga distancia con tu nave! {un}No sé cómo{/n} funciona o si estás recibiendo esto. La sonda sigue entera. Los datos están llegando poco a poco. Pero O... hay {un}algo más{/un} aquí abajo. Llámame en cuanto oigas esto."
critters.encoded.2, , , "O, please tell me you're getting this. Trying to send you our data, but it's {un}taking forever{/un} to upload. I think we're in over our heads here. {un}Station's{/un} being attacked. This thing is massive. Can't see it, but it keeps coming at us. Hope it'll get {un}bored{/un} and leave us {un}alone{/un}.", "O, por favor dime que estás recibiendo esto. Intento enviarte nuestros datos, pero tardan una {un}eternidad{/un} en cargarse. Creo que nos excedimos. {un}La estación{/un} está siendo atacada. Esta cosa es enorme. No puedo verlo, pero sigue atacándonos. Espero que {un}se aburra{/un} y nos deje {un}en paz{/un}."
critters.encoded.3, , , "O, do you copy? We {un}need{/un} help. Creature's still attacking. Systems going haywire. Had to {un}shut down{/un} the probe, so the creature wouldn't destroy it. Ex's gonna take the sub out and go for help. {un}Wish{/un} us luck. Call when you get this.", "O, ¿me copias? {un}Necesitamos{/un} ayuda. La criatura sigue atacando. Los sistemas se están volviendo locos. Tuve que {un}apagar{/un} la sonda para que la criatura no la destruyera. Ex sacará el submarino e irá por ayuda. {un}Deséanos{/un} suerte. Llama cuando oigas esto."
critters.encoded.4, , , "O, the thing attacking us is {un}some sort{/un} of squid. Beautiful. Terrifying. About the size of a bus. It took out our sub in {un}four seconds{/un}. Lucky Ex managed to make it back to the station. We're {un}stuck{/un} here. Systems glitching. Lights flashing like crazy. Dinn managed to fix the oxygen scrubber, but it won't {un}last{/un}. Please hurry.", "La cosa que nos ataca {un}es una clase de{/un} calamar. Hermoso. Aterrador. Del tamaño de un autobús. Acabó con nuestro submarino en {un}cuatro segundos{/un}. Por suerte Ex logró volver a la estación. Estamos {un}atrapados{/un} aquí. Los sistemas fallan. Las luces parpadean como locas. Dinn arregló el depurador de oxígeno, pero no {un}durará{/un}. Por favor, apúrense."
critters.encoded.5, , , "Nautilus to O. Got {un}another{/un} species to send your way. Hope you're getting all the data we've been sending you. Our lab is {un}totally wrecked{/un}, but you've got the {un}AquaLab{/un}. Maybe you can figure out if this thing has a weakness. If there's some way we can get out of here alive.", "¿Me escuchas, Oli? Habla Sam. {un}Encontramos{/un} el Challenger Deep. ¡Dinn dice que tiene un enlace de comunicaciones de larga distancia con tu nave! {un}No sé cómo{/n} funciona o si estás recibiendo esto. La sonda sigue entera. Los datos están llegando poco a poco. Pero Olili... hay {un}algo más{/un} aquí abajo. Llámame en cuanto oigas esto."
critters.encoded.6, , , "Hey, O. I don't know why I keep sending these. I guess it's just nice to pretend you're {un}listening{/un}. I really wished you could've come on this mission with me. But now I'm glad you didn't. For the record, I'm {un}sorry{/un} about the whole crashed sub thing. I {un}shouldn't have{/un} pressured you to take the sub out at night. If you get this message, send help.", "Oye, Oli. No sé por qué sigo enviando esto. Supongo que es bueno fingir que no escuchas. Realmente hubiera deseado que vinieras a esta misión conmigo. Pero ahora me alegro de que no lo hicieras. Para que sepas, {un}lo siento{/un} por el accidente del submarino. No debí {un}presionarte{/un} para sacar el submarino de noche. Si recibes este mensaje, envía ayuda."
critters.encoded.7, , , "O, it's Sam. Got more data for you. I really, really {un}hope this{/un} goes through, because I don't know how much longer we can hold on. There are {un}cracks{/un} in the outer glass. Our oxygen is dwindling. {un}Almost{/un} out of time.", "Oli, es Sam. Tengo más datos para ti. {un}Espero{/un} que esto salga bien, porque no sé cuánto más podremos aguantar. Hay {un}roturas{/un} en el vidrio exterior. Nuestro oxígeno se disminuye. {un}Casi{/un} no nos queda tiempo."
critters.encoded.8, , , "Nautilus to O. This is it. {un}The last{/un} of our data. Maybe it'll be enough to {un}find a way out{/un} of this mess. We've got a few days of oxygen left. Or {un}maybe just a few{/un} seconds, if the squid breaks the glass. O, {un}if you can hear me{/un}... I'm sending out the job to any job board {un}within range{/un}. I hope it finds you. I know you can solve this.", "Nautilus a Oli. Se acabó. {un}Los últimos{/un} de nuestros datos. Quizá sea suficiente para {un}salir de{/un} este lío. Nos quedan unos días de oxígeno. Oli {un}quizá sólo unos{/un} segundos, si el calamar rompe el vidrio. {un}Si puedes oírme{/un}... Estoy enviando la mission a cualquier Tablón de Trabajos {un}dentro de mi alcance{/un}. Espero que te encuentre. Sé que puedes resolver esto."
critters.zombieWorm.pluralName, , , "Zombie Worms", "Gusanos Zombis"
critters.zombieWorm.plural, , , "Zombie Worms", "Gusanos Zombis"
critters.bowheadWhale.plural, , , "Bowhead Whales", "Ballenas Boreales"
critters.ick.description, , , "Microscopic parasite that lives on the Tang", "Parásito microscópico que vive en el Pez Cirujano"
ecosystems.a_CoolKelpForest.commonName, , , "Rodeo Cove", "Entrante Marino"
ecosystems.b_UrchinBarren.commonName, , , "Cliffside Oasis", "Oasis del Barranco"
ecosystems.c_WarmKelpForest.commonName, , , "Forested Lagoon", "Laguna Forestal"
ecosystems.d_MixedKelpForest.commonName, , , "Mer's Horizon", "Horizonte de Mer"
ecosystems.n_ThermalVent.commonName, , , "Ignis Collis Deeps", "Profundidades Ignis Collis"
ecosystems.o_OilRig.commonName, , , "ERC Industries Rig", "Plataforma Petrolifera Industrias ERC"
ecosystems.p_DeadZone.commonName, , , "Trawling Bay", "Bahía de Arrastre"
ecosystems.r_SargassumCoveredReef.commonName, , , "Briny Beach", "Playa Salada"
ecosystems.s_Lionfish.commonName, , , "Restoration Reef", "Arrecife de restauración"
ecosystems.v_ReefEdge.commonName, , , "Serenity Meadow", "Pradera de la Serenidad"
ecosystems.w_WhaleFall.commonName, , , "White Point", "El Paso Blanco"
ecosystems.x_UnderTheIce.commonName, , , "Río Hielo", "Río Glacial"
ecosystems.y_IceCrevice.commonName, , , "Ephemeral Impasse", "Paso Efímero"
ecosystems.z_OpenOcean.commonName, , , "Frosted Sea", "Mar Glacial"
ecosystems.DeepSea.commonName, , , "The Lower Depths", "Las Profundidades Inferiores"
ecosystems.a_CoolKelpForest.description, , , "A kelp forest in cooler ocean waters.", "Un bosque de algas en aguas oceánicas más frías."
ecosystems.b_UrchinBarren.description, , , "A desolate undersea plain that was once abundant with kelp.", "Una llanura submarina desolada en la que antes abundaban las algas."
ecosystems.c_WarmKelpForest.description, , , "A kelp forest located in warm ocean waters. Kelp forests form the backbone of many ocean ecosystems.", "Un bosque de algas situado en aguas cálidas del océano. Los bosques de algas forman el esqueleto de muchos ecosistemas oceánicos."
ecosystems.d_MixedKelpForest.description, , , "A blended refuge, intended to harbor multiple species of kelp simultaneously.", "Un refugio mixto, destinado a refugiar varias especies de algas al mismo tiempo."
ecosystems.r_SargassumCoveredReef.description, , , "A coral reef blanketed in sargassum.", "Un arrecife de coral cubierto de sargazo."
ecosystems.v_ReefEdge.description, , , "The edge of a coral reef habitat.", "El borde del hábitat de un arrecife de coral."
ecosystems.s_Lionfish.description, , , "Formerly thriving reef ecosystem experiencing collapse. Diverse species presence throughout the space. An eerie presence lingers.", "Anteriormente un ecosistema de arrecifes prósperos que ahora se encuentran en colapso. Hay diversas especies en todo el espacio. Persiste una presencia perturbadora."
ecosystems.n_ThermalVent.description, , , "Deeper, darker, yet somehow warm. The base of the drilling station surrounded by thermal vents. A hot tub under the research site?", "Más profundo, más oscuro, pero de alguna forma más cálido. La base de la estación de excavación está rodeada de respiraderos térmicos. ¿Un jacuzzi bajo el centro de investigación?"
ecosystems.o_OilRig.description, , , "Former oil rig drilling platform that has been abandoned by the company. Now home to a highly debated, displaced reef and a band of research scientists.", "Antigua plataforma de excavación petrolífera abandonada por la empresa. Ahora es el hogar de un arrecife tan discutido por un grupo de científicos investigadores."
ecosystems.p_DeadZone.description, , , "Economically essential shrimp habitat. The just deep enough waters should be perfect for shrimp to enjoy. Local reports of changing conditions are troubling.", "Un hábitat de camarones económicamente valioso. Las aguas apenas profundas deberían ser perfectas para el placer de los camarones. Los informes locales sobre el cambio de las condiciones son preocupantes."
ecosystems.w_WhaleFall.description, , , "Semi-open ocean area between several ice outcroppings. This area freezes over in winter. Organisms typically migrate away during seasonal shifts.", "Zona oceánica semiabierta entre varios afloramientos del hielo. Esta zona se congela en el invierno. Los organismos suelen emigrar durante los cambios de estaciones."
ecosystems.x_UnderTheIce.description, , , "Newly discovered region! Position unknown. Appears to experience currents moving from one side of the ice to the other.", "¡Una zona recién descubierta! Posición desconocida. Parece tener corrientes que se mueven de un lado a otro del hielo."
